Student_ID,Application_ID,Registration_Code,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
ST202604201,APP1000919,REG-GUDUA,Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,,Other Armed Forces personnel,127.0,No,No,No,Yes,Male,No,34,No,0,5,5,5,15.8,0,0,5,5,5,16.8,0,8.9,1.4,3.51,Graduate
ST202601557,APP1003368,REG-RJ1WQ,Single,Change of course,1,Management (evening attendance),Evening,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Bachelor's Degree,Unskilled Workers,Administrative staff,126.5,Yes,N,No,No,Male,No,23,No,10,15,24,12,11.0,0,10,14,21,11,11.363636363636363,1,7.6,2.6,0.32,Dropout
ST202603567,APP1004133,REG-ATRD8,Single,3rd phase - general contingent,2,Social Service (evening attendance),Evening,Secondary education,117.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,111.8,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,10.833333333333334,0,0,6,9,6,11.5,0,10.8,1.4,1.74,Graduate
ST202601696,APP1001055,REG-FSMCR,Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,142.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,136.1,No,No,Yes,Yes,Male,Yes,19,No,0,6,6,6,12.666666666666666,0,0,6,6,6,14.0,0,16.2,0.3,-0.92,Graduate
ST202603807,APP1001235,REG-UAN41,Single,Technological specialization diploma holders,1,Equinculture,Daytime,Technological specialization course,150.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",150.0,Yes,No,No,Yes,Male,No,22,No,11,18,32,12,12.857142857142858,1,8,12,15,10,14.3,0,16.2,0.3,-0.92,Graduate
ST202601763,APP1000699,REG-ORMWU,Single,Over 23 years old,1,Veterinary Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,139.9,Yes,No,No,Yes,Female,Yes,24,No,1,6,7,6,12.5,0,0,6,11,6,12.833333333333334,0,8.9,1.4,3.51,Graduate
ST202601315,APP1001990,REG-QO2DW,Single,1st phase - general contingent,1,Informatics Engineering,Daytime,Secondary education,146.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,148.5,Yes,No,No,Yes,Male,No,18,N,0,5,7,4,10.0,0,0,5,8,1,16.0,0,10.8,1.4,1.74,Enrolled
ST202604154,APP1003517,REG-I87MH,Single,Transfer,1,Nursing,Daytime,Secondary education,124.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,124.0,No,No,No,Yes,Female,No,23,N,0,8,8,8,12.88625,0,0,8,8,8,12.88625,0,9.4,-0.8,-3.12,Graduate
ST202604176,APP1000089,REG-VLXSY,Married,Over 23 years old,2,Advertising and Marketing Management,Daytime,Secondary education,100.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,110.0,No,No,No,Yes,Male,Yes,36,No,0,5,5,5,11.4,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
ST202602590,APP1003657,REG-HTQ5S,Single,2nd phase - general contingent,2,Social Service (evening attendance),Evening,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,114.8,Yes,No,No,Yes,Female,no,19,No,0,6,8,4,10.5,0,0,6,8,4,11.25,0,10.8,1.4,1.74,Graduate
ST202602869,APP1003040,REG-N9URX,Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,124.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,119.1,Yes,No,No,Yes,M,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout
ST202603373,APP1001780,REG-GKWBJ,Married,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",150.0,No,No,No,Yes,Male,No,43,NO,0,5,8,5,13.5,2,0,5,5,5,14.4,0,9.4,-0.8,-3.12,Graduate
ST202603448,APP1002573,REG-HQJ39,Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",131.8,Yes,No,Yes,Yes,Female,No,20,No,6,12,12,12,13.25,0,4,11,16,10,13.090909090909092,0,8.9,1.4,3.51,Graduate
ST202603140,APP1000453,REG-V0QBK,single,3rd phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",122.2,No,No,No,No,Female,No,18,No,0,6,7,5,12.6,0,0,6,6,5,11.8,0,11.1,0.6,2.02,Enrolled
ST202602182,APP1001019,REG-D6NXX,Single,2nd phase - general contingent,5,Tourism,Daytime,Secondary education,121.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",116.5,Yes,No,No,No,Male,No,18,No,0,6,12,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
ST202600116,APP1000194,REG-QZ2EI,Single,2nd phase - general contingent,3,Management,Daytime,Secondary education,125.0,Portuguese,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,118.7,Yes,No,No,Yes,Female,NO,18,No,0,5,16,4,10.666666666666666,0,0,5,11,2,12.0,0,13.9,-0.3,0.79,Enrolled
ST202603289,APP1003068,REG-R5DLW,Single,Transfer,1,Animation and Multimedia Design,Daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,132.0,Yes,No,No,Yes,Female,no,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Dropout
ST202600502,APP1000998,REG-USUMH,Single,1st phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,117.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,113.5,Yes,No,No,Yes,Female,Yes,21,No,0,5,7,4,12.0,0,0,5,5,5,12.2,0,10.8,1.4,1.74,Graduate
ST202604085,APP1000906,REG-RAGS1,Single,Over 23 years old,1,Equinculture,Daytime,Secondary education,150.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Armed Forces Professions,110.0,No,No,Yes,Yes,Male,No,24,No,0,5,13,2,12.5,2,0,5,8,3,12.333333333333334,0,9.4,-0.8,-3.12,Dropout
ST202603526,APP1000854,REG-TC03V,Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Administrative staff,114.3,Yes,No,No,Yes,Male,No,42,No,0,6,9,5,12.4,0,0,6,10,5,11.8,0,7.6,2.6,0.32,Enrolled
ST202603424,APP1000848,REG-YWWII,Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,121.0,Portuguese,Higher Education - Degree,,Specialists in Intellectual and Scientific Activities,Unskilled Workers,115.4,Yes,No,No,Yes,Male,No,18,No,0,6,8,6,13.714285714285714,0,0,6,7,5,13.333333333333334,0,15.5,2.8,-4.06,Dropout
ST202602672,APP1003831,REG-HXLFI,single,Change of course,1,Management,Daytime,Secondary education,131.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,126.1,No,No,No,Yes,Female,No,18,No,0,5,5,0,0.0,0,0,5,9,4,13.25,2,16.2,0.3,-0.92,Enrolled
ST202604037,APP1003956,REG-OLTHY,Married,Change of course,1,Management,Daytime,Higher education - bachelor's degree,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,,Unskilled Workers,122.8,No,No,Yes,No,Female,No,42,no,13,13,13,13,11.923076923076923,0,12,12,12,12,12.5,0,15.5,2.8,-4.06,Dropout
ST202600301,APP1003731,REG-V3W95,Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,127.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Bachelor's Degree,Unskilled Workers,Administrative staff,123.2,Yes,No,No,Yes,Female,Yes,18,No,0,6,7,6,15.714285714285714,0,0,6,17,5,12.77777777777778,0,12.4,0.5,1.79,Graduate
ST202600138,APP1003104,REG-ON60T,Single,2nd phase - general contingent,1,Basic Education,Daytime,Secondary education,140.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Armed Forces Professions,122.3,Yes,No,No,Yes,Female,No,19,N,0,6,9,4,13.0,0,0,6,9,4,12.25,0,12.7,3.7,-1.7,Dropout
ST202603358,APP1003946,REG-PK4SH,SINGLE,Change of course,1,Equinculture,Daytime,Secondary education,125.0,Portuguese,Technological specialization course,Higher Education - Degree,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,125.0,Yes,No,No,Yes,Female,No,21,No,0,5,6,0,0.0,5,0,5,6,4,13.75,1,10.8,1.4,1.74,Graduate
ST202603819,APP1000916,REG-ZPBRT,Single,Change of institution/course,1,Management,Daytime,Secondary education,148.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",118.4,Yes,No,No,Yes,Male,No,30,No,0,5,7,5,13.4,0,0,5,7,4,13.25,0,8.9,1.4,3.51,Dropout
ST202601008,APP1003968,REG-Y1NGE,Single,1st phase - general contingent,2,Communication Design,Daytime,Secondary education,135.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",129.8,Yes,No,No,Yes,Female,NO,19,No,0,6,6,6,11.833333333333334,0,0,6,7,6,13.0,0,9.4,-0.8,-3.12,Graduate
ST202603207,APP1001918,REG-FPMXP,Single,2nd phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,101.3,Yes,No,No,Yes,MALE,No,20,No,0,6,12,4,12.8,0,0,6,17,0,0.0,0,12.4,0.5,1.79,Dropout
ST202602830,APP1000992,REG-SYJB4,SINGLE,1st phase - general contingent,2,Social Service,Daytime,Secondary education,145.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,121.4,No,No,No,Yes,Female,No,20,No,0,6,13,0,0.0,0,0,5,11,0,0.0,0,9.4,-0.8,-3.12,Enrolled
ST202601120,APP1003457,REG-TBXPG,Single,1st phase - general contingent,1,Management,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",119.5,Yes,NO,No,Yes,Male,Yes,18,No,0,5,7,4,11.25,0,0,5,6,4,12.25,0,12.4,0.5,1.79,Enrolled
ST202604167,APP1001257,REG-Q3UQH,Single,2nd phase - general contingent,1,Management (evening attendance),Evening,Secondary education,154.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",134.1,No,No,No,Yes,female,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
ST202603622,APP1003952,REG-HKMPL,Divorced,Over 23 years old,1,Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",140.0,No,no,No,Yes,Female,Yes,26,No,0,7,13,5,12.74,0,0,8,12,6,10.978571428571428,0,16.2,0.3,-0.92,Dropout
ST202601401,APP1001317,REG-D54UK,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,118.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",115.2,Yes,No,No,Yes,Female,No,19,No,0,7,9,6,12.97166666666667,0,0,8,9,7,12.321428571428571,0,11.1,0.6,2.02,Graduate
ST202600434,APP1003475,REG-DXBNX,Single,1st phase - general contingent,3,Veterinary Nursing,Daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,121.3,Yes,N,No,Yes,Female,Yes,19,No,0,5,6,5,14.6,0,0,5,5,5,13.8,0,10.8,1.4,1.74,Graduate
ST202601149,APP1000072,REG-B781H,Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,134.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,12.082857142857142,0,0,8,8,7,12.082857142857142,0,10.8,1.4,1.74,Graduate
ST202602236,APP1002414,REG-JNRLS,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,126.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",123.9,No,No,No,Yes,Female,No,19,No,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
ST202603477,APP1003334,REG-WFKNJ,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,138.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,132.5,Yes,No,No,Yes,Female,Yes,19,NO,0,8,8,7,14.36,0,0,8,8,7,14.36,0,10.8,1.4,1.74,Graduate
ST202601322,APP1002031,REG-JISKY,Single,1st phase - general contingent,5,Nursing,Daytime,Secondary education,118.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,113.5,Yes,N,No,Yes,Female,No,20,No,0,7,7,7,14.30714285714286,0,0,8,8,8,15.0125,0,12.4,0.5,1.79,Graduate
ST202603509,APP1002208,REG-OGU8T,single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,161.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,152.3,No,No,No,Yes,Female,No,18,No,0,6,7,6,15.571428571428571,0,0,6,7,6,14.714285714285714,0,11.1,0.6,2.02,Graduate
ST202600764,APP1003328,REG-Y2SFR,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,136.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,,120.0,Yes,No,No,Yes,Male,No,18,N,0,7,8,6,11.833333333333334,0,0,7,8,6,11.833333333333334,0,7.6,2.6,0.32,Enrolled
ST202601430,APP1002345,REG-DIQET,Married,Over 23 years old,1,Management (evening attendance),Evening,,160.0,Portuguese,Unknown,Unknown,(blank),,114.3,No,no,No,Yes,Male,No,40,No,0,5,9,3,11.0,0,0,5,8,4,12.5,1,7.6,2.6,0.32,Enrolled
ST202602020,APP1002611,REG-FLX0S,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,127.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",123.9,Yes,N,No,Yes,Female,Yes,18,No,0,7,9,7,12.855555555555554,0,0,8,12,7,12.761111111111113,0,15.5,2.8,-4.06,Graduate
ST202602839,APP1001334,REG-JVP8G,Single,3rd phase - general contingent,1,Basic Education,Daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Office workers, secretaries in general and data processing operators",Assembly workers,106.0,Yes,No,Yes,Yes,Female,No,21,no,0,7,7,7,13.0,0,0,7,8,6,12.5,0,8.9,1.4,3.51,Enrolled
ST202600936,APP1002933,REG-MTZUF,Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,,Installation and Machine Operators and Assembly Workers,144.3,Yes,No,No,Yes,F,Yes,19,No,3,6,7,6,13.142857142857142,0,2,6,6,6,14.333333333333334,0,12.4,0.5,1.79,Graduate
ST202603275,APP1000656,REG-IGITI,Single,2nd phase - general contingent,3,Management,Daytime,Secondary education,135.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",121.0,Yes,no,No,Yes,Male,Yes,18,No,0,5,8,5,12.75,0,0,5,7,5,11.5,0,13.9,-0.3,0.79,Graduate
ST202600869,APP1002459,REG-LZFHO,Single,3rd phase - general contingent,4,Animation and Multimedia Design,Daytime,Secondary education,133.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Master's,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",129.2,Yes,no,Yes,No,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
ST202600222,APP1002737,REG-JZRF5,single,Change of course,1,Journalism and Communication,Daytime,Secondary education,121.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",121.0,Yes,No,No,Yes,Male,No,23,No,0,6,15,1,13.0,0,0,6,8,4,11.25,0,9.4,-0.8,-3.12,Enrolled
ST202602572,APP1001642,REG-QAEN7,Facto union,Over 23 years old,1,Informatics Engineering,Daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,116.0,No,No,Yes,Yes,Male,Yes,34,No,0,5,14,1,17.0,0,0,5,10,2,11.0,0,9.4,-0.8,-3.12,Enrolled
ST202603339,APP1002367,REG-HFNNM,single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.1,Yes,No,No,Yes,Female,No,18,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
ST202600046,APP1001793,REG-R4LR9,Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,126.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",124.3,Yes,No,No,Yes,F,,20,No,0,8,8,8,12.98125,0,0,8,8,8,12.98125,0,9.4,-0.8,-3.12,Graduate
ST202603597,APP1002745,REG-EADKT,Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,123.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.8,Yes,No,No,Yes,Female,No,19,No,0,8,11,7,12.545714285714286,0,0,8,11,7,12.545714285714286,0,10.8,1.4,1.74,Graduate
ST202600265,APP1001041,REG-O777L,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,125.7,Yes,No,No,Yes,Female,No,18,No,0,6,10,6,11.571428571428571,0,0,6,8,6,12.333333333333334,0,12.4,0.5,1.79,Graduate
ST202600009,APP1001143,REG-LW26R,Single,2nd phase - general contingent,2,Communication Design,Daytime,Secondary education,152.0,Portuguese,Technological specialization course,Technological specialization course,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,134.2,Yes,No,No,Yes,male,No,20,No,0,6,7,5,11.8,0,0,6,9,4,12.0,0,15.5,2.8,-4.06,Enrolled
ST202603023,APP1000126,REG-Y37FE,Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Specialists in Intellectual and Scientific Activities,127.7,No,No,No,Yes,Female,No,25,No,0,5,12,4,12.5,0,0,5,10,4,11.0,0,13.9,-0.3,0.79,Enrolled
ST202602465,APP1003694,REG-W0CVG,Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Unskilled Workers,138.0,Yes,No,No,Yes,Female,NO,20,No,0,6,11,6,13.333333333333334,0,0,6,10,6,13.0,0,16.2,0.3,-0.92,Enrolled
ST202601746,APP1003043,REG-S1OA3,Single,1st phase - general contingent,6,Nursing,Daytime,Secondary education,139.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,128.5,Yes,NO,No,Yes,Female,No,19,No,0,8,10,6,13.066666666666668,0,0,8,10,6,13.066666666666668,0,12.7,3.7,-1.7,Dropout
ST202602879,APP1000084,REG-D5EHL,Single,2nd phase - general contingent,6,Advertising and Marketing Management,Daytime,Secondary education,110.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Armed Forces Professions,111.3,No,No,No,Yes,Male,No,21,No,0,6,10,6,12.285714285714286,0,0,6,11,4,14.25,0,15.5,2.8,-4.06,Enrolled
ST202601994,APP1000395,REG-I2C53,single,Technological specialization diploma holders,1,Communication Design,Daytime,Technological specialization course,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Intermediate Level Technicians and Professions,120.0,Yes,No,No,Yes,Male,No,23,No,2,7,8,5,12.2,0,5,9,10,7,12.142857142857142,1,16.2,0.3,-0.92,Dropout
ST202603880,APP1000466,REG-VCHEL,Single,1st phase - general contingent,3,Management,Daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",123.5,Yes,N,No,Yes,Female,Yes,19,No,0,5,5,5,11.6,0,0,5,11,3,12.666666666666666,0,9.4,-0.8,-3.12,Enrolled
ST202600760,APP1003566,REG-U837C,Divorced,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,147.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,147.9,No,No,No,Yes,Female,No,28,No,0,5,8,4,11.5,0,0,5,7,4,12.0,0,10.8,1.4,1.74,Enrolled
ST202603265,APP1003269,REG-ESEM2,single,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,127.1,Yes,No,No,Yes,Female,No,19,No,0,6,7,6,12.857142857142858,0,0,6,7,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
ST202603131,APP1001931,REG-FLK3Y,Single,International student (bachelor),1,Management,Daytime,Secondary education,140.0,Santomean,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Bachelor's Degree,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Administrative staff,140.0,No,No,Yes,Yes,male,No,19,Yes,0,5,12,3,10.5,0,0,5,8,4,11.25,0,12.4,0.5,1.79,Graduate
